Algorithm: LRU
FBA0 (4DA0): 00(0)
9FF2 (4EF2): 27(39)
418A (4F8A): 10(16)
6A17 (7017): 85(-123)
5F04 (4404): 00(0)
7EC2 (50C2): 1F(31)
2394 (5194): 00(0)
FF19 (7719): 00(0)
4C77 (5877): 1D(29)
2B6D (1E6D): 00(0)
FE92 (5292): 3F(63)
E29D (459D): 00(0)
F0EC (5AEC): 00(0)
F816 (6E16): 3E(62)
4432 (2532): 11(17)
D593 (5393): 64(100)
06B1 (31B1): 00(0)
D741 (5441): 00(0)
FF29 (7729): 00(0)
B0DE (55DE): 2C(44)
6690 (5690): 00(0)
FAC6 (57C6): 3E(62)
7301 (5801): 00(0)
0788 (0188): 00(0)
9A01 (3001): 00(0)
7D00 (5900): 00(0)
6F85 (6D85): 00(0)
B4D7 (5AD7): 35(53)
58F4 (5BF4): 00(0)
E374 (0574): 00(0)
F825 (6E25): 00(0)
7F5A (5C5A): 1F(31)
B473 (5A73): 1C(28)
DA29 (0729): 00(0)
B576 (5D76): 2D(45)
1D3F (323F): 4F(79)
8457 (2957): 15(21)
A414 (3F14): 00(0)
2197 (5E97): 65(101)
48D1 (5FD1): 00(0)
BF77 (6077): DD(-35)
68CE (2DCE): 1A(26)
87C2 (61C2): 21(33)
394C (024C): 00(0)
95DA (62DA): 25(37)
9787 (4387): E1(-31)
104B (634B): 12(18)
B397 (6497): E5(-27)
391F (021F): 47(71)
F3B9 (65B9): 00(0)
FC92 (6692): 3F(63)
2AD3 (67D3): B4(-76)
2362 (5162): 08(8)
C757 (2E57): D5(-43)
7EA9 (50A9): 00(0)
B1AB (3EAB): 6A(106)
AE43 (6843): 90(-112)
F8B0 (6EB0): 00(0)
D688 (6988): 00(0)
1DEF (32EF): 7B(123)
DCA0 (6AA0): 00(0)
05D1 (6BD1): 00(0)
6F16 (6D16): 1B(27)
FFA9 (77A9): 00(0)
3099 (3A99): 00(0)
E4A2 (3CA2): 2B(43)
F852 (6E52): 3E(62)
668B (568B): A2(-94)
3E64 (6C64): 00(0)
8BF2 (33F2): 22(34)
1573 (6D73): 5C(92)
D3ED (6EED): 00(0)
C1F7 (3BF7): 7D(125)
16EC (6FEC): 00(0)
4EC3 (22C3): B0(-80)
C787 (2E87): E1(-31)
5396 (7096): 14(20)
7FF4 (5CF4): 00(0)
FAC4 (57C4): 00(0)
A8D2 (71D2): 2A(42)
544F (724F): 13(19)
61FE (73FE): 18(24)
B1CB (3ECB): 72(114)
325D (765D): 00(0)
5982 (7482): 16(22)
E659 (7559): 00(0)
4E7E (227E): 13(19)
35A2 (76A2): 0D(13)
AC1B (771B): 06(6)
7103 (7803): 40(64)
34DD (0DDD): 00(0)
816E (796E): 20(32)
6F43 (7A43): D0(-48)
04C4 (23C4): 00(0)
951E (621E): 25(37)
D0FE (0AFE): 34(52)
A940 (7B40): 00(0)
136A (7C6A): 04(4)
1F9A (049A): 07(7)
0A65 (7D65): 00(0)
D28F (7E8F): A3(-93)
2B11 (1E11): 00(0)
6803 (2D03): 00(0)
46C5 (7FC5): 00(0)
38A9 (00A9): 00(0)
F058 (0158): 00(0)
4FC7 (02C7): F1(-15)
6952 (0352): 1A(26)
8E28 (3928): 00(0)
2C65 (0465): 00(0)
C6C2 (05C2): 31(49)
A2C4 (28C4): 00(0)
7721 (4021): 00(0)
8D78 (0678): 00(0)
15F3 (6DF3): 7C(124)
9077 (0777): 1D(29)
E8A5 (08A5): 00(0)
8F37 (0B37): CD(-51)
8E54 (3954): 00(0)
90C1 (07C1): 00(0)
5C21 (0921): 00(0)
E5A7 (0AA7): 69(105)
B64A (0B4A): 2D(45)
FBDB (4DDB): F6(-10)
546F (726F): 1B(27)
A082 (0C82): 28(40)
06EB (31EB): BA(-70)
B999 (0D99): 00(0)
99AA (0EAA): 26(38)
056E (6B6E): 01(1)
9774 (4374): 00(0)
E325 (0F25): 00(0)
1C1C (2F1C): 00(0)
23A3 (51A3): E8(-24)
1D43 (3243): 50(80)
F498 (1098): 00(0)
3C4C (104C): 00(0)
4453 (2553): 14(20)
D198 (1498): 00(0)
6751 (1151): 00(0)
8877 (1277): 1D(29)
4D98 (1398): 00(0)
C8BC (14BC): 00(0)
3B33 (1533): CC(-52)
FD07 (1607): 41(65)
BB61 (1761): 00(0)
3FBB (18BB): EE(-18)
053E (6B3E): 01(1)
C7F1 (2EF1): 00(0)
179B (199B): E6(-26)
5396 (7096): 14(20)
0CC9 (20C9): 00(0)
249A (1A9A): 09(9)
8A87 (1B87): A1(-95)
6E2D (1C2D): 00(0)
092F (1D2F): 4B(75)
7147 (7847): 51(81)
BA53 (1E53): 94(-108)
B716 (1F16): 2D(45)
5727 (2027): C9(-55)
566C (216C): 00(0)
579B (209B): E6(-26)
C0C0 (38C0): 00(0)
5AB8 (22B8): 00(0)
158A (6D8A): 05(5)
5018 (2318): 00(0)
0178 (2478): 00(0)
07DE (25DE): 01(1)
972C (432C): 00(0)
332A (352A): 0C(12)
F3E3 (65E3): F8(-8)
BBAE (17AE): 2E(46)
F7E8 (26E8): 00(0)
31FE (27FE): 0C(12)
C7EA (2EEA): 31(49)
21B3 (5EB3): 6C(108)
69CB (03CB): 72(114)
B85E (285E): 2E(46)
ABF5 (29F5): 00(0)
8018 (2A18): 00(0)
ABDC (29DC): 00(0)
A0A6 (0CA6): 28(40)
FAF4 (57F4): 00(0)
90B7 (07B7): 2D(45)
EB79 (2B79): 00(0)
CEA8 (4CA8): 00(0)
1E58 (2C58): 00(0)
D83F (2D3F): 0F(15)
0C9E (2E9E): 03(3)
AF0D (3C0D): 00(0)
1014 (6314): 00(0)
FEC6 (52C6): 3F(63)
6DB3 (2FB3): 6C(108)
ECF4 (30F4): 00(0)
0027 (3127): 09(9)
0148 (2448): 00(0)
BAFC (1EFC): 00(0)
32D1 (32D1): 00(0)
576A (206A): 15(21)
9988 (0E88): 00(0)
2BA3 (33A3): E8(-24)
1F8F (348F): E3(-29)
CE8F (4C8F): A3(-93)
1403 (3503): 00(0)
1104 (3604): 00(0)
B2B1 (49B1): 00(0)
80B8 (2AB8): 00(0)
1231 (3731): 00(0)
5E4E (384E): 17(23)
5B17 (3917): C5(-59)
3527 (7627): 49(73)
B4E0 (5AE0): 00(0)
450D (480D): 00(0)
E92B (4A2B): 4A(74)
C717 (3A17): C5(-59)
1E89 (2C89): 00(0)
2161 (5E61): 00(0)
D801 (2D01): 00(0)
CEDA (4CDA): 33(51)
9B28 (3B28): 00(0)
4817 (5F17): 05(5)
768D (3C8D): 00(0)
F726 (2626): 3D(61)
6A14 (3D14): 00(0)
5086 (2386): 14(20)
4BAC (3EAC): 00(0)
BE31 (3F31): 00(0)
C0EA (40EA): 30(48)
C598 (4198): 00(0)
CAE0 (42E0): 00(0)
8791 (6191): 00(0)
3555 (7655): 00(0)
C39D (439D): 00(0)
D4F6 (44F6): 35(53)
A20A (450A): 28(40)
1049 (6349): 00(0)
8D16 (0616): 23(35)
2570 (4670): 00(0)
483A (5F3A): 12(18)
D87C (2D7C): 00(0)
164C (6F4C): 00(0)
5BD2 (39D2): 16(22)
3C1F (101F): 07(7)
8E10 (4710): 00(0)
9840 (4840): 00(0)
C4E6 (49E6): 31(49)
C054 (4054): 00(0)
FE0B (520B): 82(-126)
75A8 (4AA8): 00(0)
F457 (4B57): 15(21)
B6D9 (0BD9): 00(0)
54B7 (72B7): 2D(45)
D24F (7E4F): 93(-109)
0832 (4C32): 02(2)
